Filename: C:\Users\japan\OneDrive - University of Twente\Documenten\Extraction and Dissemination\photogrammetry_project\images\ortho.tif
ROI: Built-up [Red] 3392 points

Basic Stats	  Min	  Max	      Mean	    Stdev
     Band 1	   75	  236	180.775943	45.100771
     Band 2	   91	  225	168.137677	37.759513
     Band 3	   96	  215	156.856132	35.138139

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
           	  158	      4	   1353	  0.1179	 39.8880
           	  159	      2	   1355	  0.0590	 39.9469
           	  160	      2	   1357	  0.0590	 40.0059
           	  161	      0	   1357	  0.0000	 40.0059
           	  162	      0	   1357	  0.0000	 40.0059
           	  163	      3	   1360	  0.0884	 40.0943
           	  164	      1	   1361	  0.0295	 40.1238
           	  165	      1	   1362	  0.0295	 40.1533
           	  166	      4	   1366	  0.1179	 40.2712
           	  167	     10	   1376	  0.2948	 40.5660
           	  168	     12	   1388	  0.3538	 40.9198
           	  169	     24	   1412	  0.7075	 41.6274
           	  170	     62	   1474	  1.8278	 43.4552
           	  171	    124	   1598	  3.6557	 47.1108
           	  172	    184	   1782	  5.4245	 52.5354
           	  173	     41	   1823	  1.2087	 53.7441
           	  174	     10	   1833	  0.2948	 54.0389
           	  175	      8	   1841	  0.2358	 54.2748
           	  176	      6	   1847	  0.1769	 54.4517
           	  177	      2	   1849	  0.0590	 54.5106
           	  178	      2	   1851	  0.0590	 54.5696
           	  179	      3	   1854	  0.0884	 54.6580
           	  180	      2	   1856	  0.0590	 54.7170
           	  181	      1	   1857	  0.0295	 54.7465
           	  182	      1	   1858	  0.0295	 54.7759
           	  183	      4	   1862	  0.1179	 54.8939
           	  184	      8	   1870	  0.2358	 55.1297
           	  185	      8	   1878	  0.2358	 55.3656
           	  186	      6	   1884	  0.1769	 55.5425
           	  187	      9	   1893	  0.2653	 55.8078
           	  188	     13	   1906	  0.3833	 56.1910
           	  189	     24	   1930	  0.7075	 56.8986
           	  190	     27	   1957	  0.7960	 57.6946
           	  191	     36	   1993	  1.0613	 58.7559
           	  192	    104	   2097	  3.0660	 61.8219
           	  193	    162	   2259	  4.7759	 66.5979
           	  194	    155	   2414	  4.5696	 71.1675
           	  195	     58	   2472	  1.7099	 72.8774
           	  196	     38	   2510	  1.1203	 73.9976
           	  197	     34	   2544	  1.0024	 75.0000
           	  198	     29	   2573	  0.8550	 75.8550
           	  199	     32	   2605	  0.9434	 76.7983
           	  200	     32	   2637	  0.9434	 77.7417
           	  201	     38	   2675	  1.1203	 78.8620
           	  202	     31	   2706	  0.9139	 79.7759
           	  203	     27	   2733	  0.7960	 80.5719
           	  204	     29	   2762	  0.8550	 81.4269
           	  205	     28	   2790	  0.8255	 82.2524
           	  206	     28	   2818	  0.8255	 83.0778
           	  207	     29	   2847	  0.8550	 83.9328
           	  208	     27	   2874	  0.7960	 84.7288
           	  209	     22	   2896	  0.6486	 85.3774
           	  210	     29	   2925	  0.8550	 86.2323
           	  211	     27	   2952	  0.7960	 87.0283
           	  212	      9	   2961	  0.2653	 87.2936
           	  213	     13	   2974	  0.3833	 87.6769
           	  214	     13	   2987	  0.3833	 88.0601
           	  215	      8	   2995	  0.2358	 88.2960
           	  216	     15	   3010	  0.4422	 88.7382
           	  217	     28	   3038	  0.8255	 89.5637
           	  218	     61	   3099	  1.7983	 91.3620
           	  219	    108	   3207	  3.1840	 94.5460
           	  220	     97	   3304	  2.8597	 97.4057
           	  221	     64	   3368	  1.8868	 99.2925
           	  222	     17	   3385	  0.5012	 99.7936
           	  223	      5	   3390	  0.1474	 99.9410
           	  224	      1	   3391	  0.0295	 99.9705
           	  225	      1	   3392	  0.0295	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 3     	   96	      2	      2	  0.0590	  0.0590
           	   97	      5	      7	  0.1474	  0.2064
           	   98	     15	     22	  0.4422	  0.6486
           	   99	     14	     36	  0.4127	  1.0613
           	  100	     13	     49	  0.3833	  1.4446
           	  101	     38	     87	  1.1203	  2.5649
           	  102	     64	    151	  1.8868	  4.4517
           	  103	     42	    193	  1.2382	  5.6899
           	  104	     51	    244	  1.5035	  7.1934
           	  105	     42	    286	  1.2382	  8.4316
           	  106	     25	    311	  0.7370	  9.1686
           	  107	     24	    335	  0.7075	  9.8762
           	  108	      0	    335	  0.0000	  9.8762
           	  109	      0	    335	  0.0000	  9.8762
           	  110	      0	    335	  0.0000	  9.8762
           	  111	      0	    335	  0.0000	  9.8762
           	  112	      0	    335	  0.0000	  9.8762
           	  113	      0	    335	  0.0000	  9.8762
           	  114	      2	    337	  0.0590	  9.9351
           	  115	      3	    340	  0.0884	 10.0236
           	  116	      7	    347	  0.2064	 10.2300
           	  117	     24	    371	  0.7075	 10.9375
           	  118	     72	    443	  2.1226	 13.0601
           	  119	    107	    550	  3.1545	 16.2146
           	  120	    101	    651	  2.9776	 19.1922
           	  121	     89	    740	  2.6238	 21.8160
           	  122	     63	    803	  1.8573	 23.6733
           	  123	     58	    861	  1.7099	 25.3833
           	  124	     98	    959	  2.8892	 28.2724
           	  125	     80	   1039	  2.3585	 30.6309
           	  126	     39	   1078	  1.1498	 31.7807
           	  127	     19	   1097	  0.5601	 32.3408
           	  128	     16	   1113	  0.4717	 32.8125
           	  129	     12	   1125	  0.3538	 33.1663
           	  130	      3	   1128	  0.0884	 33.2547
           	  131	      3	   1131	  0.0884	 33.3432
           	  132	      1	   1132	  0.0295	 33.3726
           	  133	      1	   1133	  0.0295	 33.4021
           	  134	      1	   1134	  0.0295	 33.4316
           	  135	      3	   1137	  0.0884	 33.5200
           	  136	      3	   1140	  0.0884	 33.6085
           	  137	      4	   1144	  0.1179	 33.7264
           	  138	     17	   1161	  0.5012	 34.2276
           	  139	     37	   1198	  1.0908	 35.3184
           	  140	     70	   1268	  2.0637	 37.3821
           	  141	     83	   1351	  2.4469	 39.8290
           	  142	     98	   1449	  2.8892	 42.7182
           	  143	     88	   1537	  2.5943	 45.3125
           	  144	     50	   1587	  1.4741	 46.7866
           	  145	     18	   1605	  0.5307	 47.3172
           	  146	      9	   1614	  0.2653	 47.5825
           	  147	      3	   1617	  0.0884	 47.6710
           	  148	      4	   1621	  0.1179	 47.7889
           	  149	      2	   1623	  0.0590	 47.8479
           	  150	      2	   1625	  0.0590	 47.9068
           	  151	      1	   1626	  0.0295	 47.9363
           	  152	      1	   1627	  0.0295	 47.9658
           	  153	      6	   1633	  0.1769	 48.1427
           	  154	     16	   1649	  0.4717	 48.6144
           	  155	     52	   1701	  1.5330	 50.1474
           	  156	     57	   1758	  1.6804	 51.8278
           	  157	     40	   1798	  1.1792	 53.0071
           	  158	     21	   1819	  0.6191	 53.6262
           	  159	     13	   1832	  0.3833	 54.0094
           	  160	     13	   1845	  0.3833	 54.3927
           	  161	      7	   1852	  0.2064	 54.5991
           	  162	      1	   1853	  0.0295	 54.6285
           	  163	      0	   1853	  0.0000	 54.6285
           	  164	      0	   1853	  0.0000	 54.6285
